domanda,risposta,tipo,opzione_b,opzione_c,opzione_d,opzione_e,risposta_alternativa,punti_chiave,immagine
"In un'operazione di Point Processing, il valore del pixel g(x,y) dipende anche dai valori dei pixel vicini.",F,tf,,,,,,,
"La trasformazione Gamma Correction con gamma = 2.2 viene usata per convertire le immagini dallo spazio lineare allo spazio sRGB (o viceversa per ripristinare la linearità).",V,tf,,,,,,,
"CLAHE limita l'amplificazione del rumore di AHE tagliando (clipping) i picchi dell'istogramma e ridistribuendo i pixel.",V,tf,,,,,,,
"La convoluzione è un'operazione commutativa e associativa, mentre la cross-correlation in generale non lo è.",V,tf,,,,,,,
"Un kernel 2D di dimensione 5x5 separabile richiede 25 operazioni di moltiplicazione per ogni pixel.",F,tf,,,,,,,
"Lo Zero-Padding è la scelta migliore per l'edge detection perché elimina completamente la creazione di falsi bordi sui confini dell'immagine.",F,tf,,,,,,,
"Il filtro Mediana è un filtro lineare particolarmente efficace contro il rumore Gaussiano.",F,tf,,,,,,,
"In un filtro di Edge Detection (come Sobel), la somma di tutti i pesi del kernel è uguale a 1.",F,tf,,,,,,,
"Nel Canny Edge Detector, lo step di Non-Maximum Suppression (NMS) serve a ridurre lo spessore dei bordi a un solo pixel.",V,tf,,,,,,,
"Per evitare l'effetto Aliasing durante il sub-sampling di un'immagine, occorre applicare un filtro passa-basso Gaussiano prima di ridurre la risoluzione.",V,tf,,,,,,,
"Una piramide Gaussiana completa richiede il triplo (300%) dello spazio di memoria rispetto all'immagine originale.",F,tf,,,,,,,
"La piramide Laplaciana memorizza le alte frequenze perse tra un livello e l'altro ed è una rappresentazione lossless (ripristinabile perfettamente).",V,tf,,,,,,,
"Qual è il costo computazionale della convoluzione 2D con un kernel separabile L x L su un'immagine M x N?",O(2L * M * N),mc,O(L^2 * M * N),O(L * M * N),O(2L + M + N),,,
"Quale tipo di padding riflette specularmente i pixel interni verso l'esterno ed è ideale per l'edge detection?",Mirror / Reflect Padding,mc,Zero Padding,Clamp / Replicate Padding,Constant Padding,,,
"Qual è la formula per calcolare la dimensione dell'output Out per un input N, kernel K, padding P e stride S?",out = (N + 2P - K)/S + 1,mc,out = (N + P - K)/S,out = (N + 2P)/K + S,out = (N - K)/S + 2P,,,
"Quale filtro non-lineare preserva i bordi pesando i pixel sia per distanza spaziale che per somiglianza cromatica?",Bilateral Filter,mc,Median Filter,Gaussian Filter,Box Filter,,,
"Quale algoritmo per l'edge detection utilizza due soglie (alta e bassa) per connettere i bordi deboli a quelli forti?",Canny Edge Detector,mc,Sobel Filter,Harris Detector,Laplacian of Gaussian,,,
"Secondo il teorema di Nyquist-Shannon, la frequenza di campionamento fs deve soddisfare quale condizione rispetto alla frequenza massima fmax?",fs >= 2 * fmax,mc,fs >= fmax,fs <= 2 * fmax,fs = fmax / 2,,,
"Quale piramide viene utilizzata per eseguire l'Image Blending (unione invisibile di due immagini)?",Laplacian Pyramid,mc,Gaussian Pyramid,Steerable Pyramid,Fourier Pyramid,,,
"Formola per il calcolo del gradiente di intensita Magnitude",\||\nabla f\|| = \sqrt(I_x^2 + I_y^2),formula,,,,,\sqrt{I_x^2 + I_y^2}|sqrt(I_x^2 + I_y^2),,
"Formola della dimensione di output out dati N, P, K, S",out = (N + 2P - K)/S + 1,formula,,,,,(N + 2P - K)/S + 1|(N+2P-K)/S+1,,
"Formola del residuo L_i al livello i della piramide Laplaciana",L_i = G_i - EXPAND(G_{i+1}),formula,,,,,L_i = G_i - EXPAND(G_{i+1})|G_i - EXPAND(G_i+1),,
